,Author,Quote
0,Albert Einstein,“Try not to become a man of success. Rather become a man of value.”
1,J.K. Rowling,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
2,Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
3,Marilyn Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
4,André Gide,“It is better to be hated for what you are than to be loved for what you are not.”
5,Thomas A. Edison,"“I have not failed. I've just found 10,000 ways that won't work.”"
6,Eleanor Roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
7,Steve Martin,"“A day without sunshine is like, you know, night.”"
